assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,adboardid,teamcolor3b,defmentality,powid,rightfreekicktakerid,domesticprestige,genericint2,jerseytype,popularity,teamstadiumcapacity,iscompetitionscarfenabled,cityid,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,trait1vequal,suittypeid,numtransfersin,stanchionflamethrower,captainid,personalityid,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
1914,46,15,15,2900,255,255,1910,32,200,3,52,167,4,255,PEC Zwolle,1,99,68,-1,200275,5,-1,2,3,12500,2,540,100634,2,69,68,68,67,6,37,66,67,2,0,60,220763,1,132096,49,226539,1,1,60,4,200275,2,1914,132096,0,0,0,209371,0,200275,0,0,0,0,40,1500000,60,68,40,6,1,209371,200275,2,0,1,352,0,73,60,526336,67
1915,46,162,19,6497,255,255,1971,0,107,4,53,143,3,255,FC Groningen,14,82,49,-1,226677,6,-1,2,5,22550,2,196,1913,2,69,70,68,71,6,54,69,70,2,0,53,226677,1,73760,32,228747,0,1,47,2,226677,3,1915,1056800,0,0,0,192358,0,282588,0,0,0,0,55,2500000,54,70,57,5,1,208153,225114,2,0,2,352,0,72,68,526368,73
1917,45,89,29,7599,255,255,1932,29,175,3,53,89,2,255,Wigan Athletic,2,195,44,-1,282139,4,-1,2,5,25133,0,528,4,0,67,68,68,69,-2,37,67,67,0,0,67,200667,1,1082372,28,200667,1,1,68,2,200667,4,1917,1049604,2,0,0,209493,1,282139,0,0,0,0,39,2900000,54,67,34,4,0,201093,194091,2,0,2,352,0,73,54,1056772,69
1919,45,1,225,24999,255,255,1894,225,1,3,51,1,4,255,Bristol City,3,1,45,-1,199960,6,-1,2,4,27000,2,76,1962,2,69,70,69,70,-2,51,71,71,2,0,53,220659,1,1089546,59,199960,1,0,65,2,199960,3,1919,1056778,1,0,0,202408,0,199960,0,0,0,0,52,4500000,53,70,65,4,0,215487,199960,2,0,1,352,0,73,59,528394,70
1920,45,86,29,5198,255,255,1895,29,152,3,53,86,2,255,Oldham Athletic,3,152,26,-1,200928,6,-1,2,2,13488,0,357,1955,0,63,63,63,63,-2,72,63,64,0,0,25,200928,1,1056832,32,200928,0,0,23,2,200928,4,1920,526400,2,0,0,11811,1,200928,0,0,0,0,67,650000,62,63,62,9,0,11811,200928,2,0,1,352,0,67,32,526400,63
1923,45,255,255,1921,1,255,1885,255,255,2,52,255,1,160,Luton Town,1,255,47,-1,182617,4,-1,2,5,10356,0,291,1795,2,63,62,61,67,0,40,60,62,0,0,60,210108,0,181248,53,193943,1,0,43,2,193943,7,1923,1098752,0,0,0,193206,1,182617,0,0,0,0,39,900000,39,64,39,4,0,182617,169389,2,0,3,352,0,67,69,1073152,66
1924,45,102,51,3998,255,255,1866,51,204,3,53,102,3,255,Chesterfield,3,216,68,-1,187796,7,-1,2,3,10300,0,105,1940,2,62,62,62,64,-1,37,61,62,0,0,41,187796,1,132096,50,183681,1,0,61,2,183681,3,1924,132096,0,0,0,169604,0,187796,0,0,0,0,36,1000000,51,63,31,9,0,229350,222477,2,0,1,352,0,69,51,1056768,64
1925,45,1,242,17995,255,255,1889,1,34,2,51,1,2,255,Brentford,3,1,60,-1,184218,6,-1,2,3,12802,2,285,15,2,71,71,71,73,0,51,70,70,2,0,53,205818,1,99336,33,200113,0,0,55,2,200113,4,1925,90120,0,0,0,191079,0,184218,0,0,0,0,51,4000000,53,71,37,3,0,184218,202541,2,0,1,352,0,75,63,73736,73
1926,45,134,255,4997,255,255,1887,255,20,6,53,134,6,255,Blackpool,3,20,27,-1,280469,7,-1,2,5,17000,0,56,1801,0,62,63,63,62,-3,69,62,62,0,0,29,280469,1,1052696,78,280469,1,1,40,2,280469,4,1926,575512,2,0,0,200793,0,280469,0,0,0,0,69,650000,78,63,58,8,0,280469,186558,2,0,2,352,0,66,78,526360,63
1928,45,255,255,4998,1,1,1876,255,255,4,53,255,3,1,Port Vale,3,255,45,-1,193957,4,-1,2,3,19148,0,465,1806,2,61,61,61,62,-2,50,60,62,0,0,32,193957,1,1056898,37,193957,1,0,63,2,193957,2,1928,1056898,2,0,0,222625,0,193957,0,0,0,0,50,800000,32,61,63,10,0,281036,152724,2,0,2,352,0,65,37,1056898,62
1929,45,75,1,3149,255,255,1886,1,1,2,50,75,3,255,Plymouth Argyle,3,1,48,-1,192451,4,-1,2,5,16388,0,381,143,0,65,66,67,65,-4,51,66,64,0,0,68,192451,0,172058,73,192451,1,0,39,2,192451,5,1929,1089562,0,0,0,111328,0,192451,0,0,0,0,51,850000,68,65,39,4,0,192451,192451,2,0,3,352,0,67,33,565274,65
1930,45,1,153,4999,255,255,1897,153,39,3,52,1,2,255,Northampton,3,29,60,-1,202204,6,-1,2,2,7798,0,350,1938,0,65,65,65,63,0,53,64,64,0,0,33,186590,1,73984,33,190682,1,0,43,2,207710,3,1930,73984,0,0,0,186590,0,202204,0,0,0,0,51,750000,50,65,49,7,0,186590,53827,2,0,1,352,0,67,33,270592,63
1932,45,1,230,6590,255,255,1887,220,1,2,53,1,2,255,Barnsley,3,1,68,-1,213798,6,-1,2,3,23287,2,38,1794,2,63,66,63,68,-1,72,66,66,2,0,32,213798,1,167952,62,213798,1,1,52,2,213798,4,1932,167952,2,0,0,215638,0,213798,0,0,0,0,67,1250000,75,66,66,8,0,228388,201446,2,0,1,352,0,72,42,526352,68
1933,45,182,77,1268,65,1,1887,1,227,3,52,139,1,33,Wycombe,3,212,67,-1,181521,6,-1,2,2,9617,0,217,1935,2,63,63,63,62,-1,71,62,64,0,0,65,181521,0,151576,35,181521,1,0,65,2,181521,5,1933,151576,0,0,0,181521,1,181521,0,0,0,0,68,700000,62,63,79,5,0,215700,183449,2,0,1,352,0,67,75,544792,64
1934,45,6,221,3996,255,255,1879,221,24,2,51,6,3,255,Swindon Town,3,24,45,-1,213668,7,-1,2,2,15547,0,471,1951,2,61,61,61,58,-1,70,62,62,0,0,59,203416,2,1056769,32,189727,1,0,36,2,213668,4,1934,1052673,1,0,0,183780,1,213668,0,0,0,0,71,700000,69,61,66,8,0,227498,196353,2,0,1,352,0,64,32,1052673,58
1935,45,102,51,1813,255,255,1937,31,255,3,51,85,2,255,Colchester,3,255,43,-1,200900,4,-1,1,5,10105,0,113,1954,2,63,62,63,60,0,52,60,62,0,0,69,200900,0,1099010,77,200900,1,0,31,2,200900,6,1935,1106178,2,0,0,213635,0,200900,0,0,0,0,50,750000,69,63,31,3,0,204915,200900,2,0,2,352,0,69,77,542978,60
1936,45,42,201,2158,255,255,1887,195,56,3,52,42,6,255,Cheltenham Town,3,56,47,-1,239611,4,-1,2,3,7066,0,578,1934,2,61,63,63,60,-2,68,65,61,0,0,57,201901,1,1073410,46,201901,0,0,42,2,201901,6,1936,1069314,0,0,0,229962,1,239611,0,0,0,0,69,600000,67,60,72,8,0,239611,229962,2,0,1,352,0,63,76,542978,62
1937,45,1,1,2093,255,255,1862,1,1,2,53,1,3,255,Notts County,3,1,49,-1,176442,7,-1,1,5,19588,0,352,14,2,64,65,64,64,-1,53,64,62,0,0,70,176442,0,1057160,31,215649,1,1,35,2,176442,5,1937,1057160,2,0,0,176442,1,176442,0,0,0,0,49,1000000,70,64,35,3,0,176442,173836,2,0,3,352,0,63,31,135560,64
1938,45,90,1,3399,255,255,1934,1,195,10,52,90,10,255,Peterborough,3,205,66,-1,206571,7,-1,2,5,15314,0,379,1798,0,65,66,67,61,0,36,68,66,0,0,57,206571,1,132144,46,230849,1,0,57,2,200980,5,1938,132144,2,0,0,206571,0,206571,0,0,0,0,37,1100000,37,64,37,4,0,230849,206571,2,0,2,352,0,68,37,526384,63
1939,45,113,1,389994,255,255,1908,1,185,3,53,113,3,255,Huddersfield,3,185,67,-1,205201,6,-1,2,3,24554,0,221,8,0,73,74,74,73,-1,53,74,72,0,0,51,205201,1,139428,41,205201,1,1,51,5,221587,4,1939,139428,2,0,0,183546,1,205201,3,0,0,0,49,32370000,50,73,35,5,0,224883,203544,2,0,1,352,0,74,41,266404,74
1940,45,204,255,2911,204,51,1897,245,1,2,53,201,1,102,Mansfield Town,3,1,47,-1,186198,7,-1,1,3,9186,0,303,1924,2,64,65,65,62,-1,36,65,64,0,0,61,186198,2,266498,38,169919,1,0,33,2,169489,3,1940,1049858,0,0,0,169489,1,186198,0,0,0,0,39,750000,49,64,39,3,0,186198,169489,2,0,2,352,0,68,49,1057026,63
1943,41,1,221,526359,1,1,1899,231,1,1,50,1,5,1,Bournemouth,3,1,44,-1,206467,3,-1,2,4,11464,0,65,17,0,74,75,73,76,-1,36,74,75,0,0,51,206467,0,1049736,28,226414,1,0,40,2,226414,2,1943,1049736,2,0,0,184749,0,206467,0,0,0,0,39,41317000,44,75,34,4,0,196978,172768,2,0,3,352,0,80,44,1056904,76
1944,41,207,250,1791095,26,11,1912,250,40,7,52,207,4,6,Cambridge Utd,1,40,40,-1,280444,4,-1,2,5,8127,0,92,1938,2,63,61,62,63,0,84,61,62,0,0,100,280444,0,1073172,57,281347,0,0,68,2,220834,5,1944,542740,1,0,0,280442,0,280444,0,0,1,1,100,700000,81,63,100,2,0,281347,223085,2,0,5,352,0,86,72,542740,61
1945,45,255,255,3749,204,1,1885,255,255,15,53,255,5,51,Bury,3,255,28,-1,167841,7,-1,1,3,11376,0,87,1955,0,66,65,64,67,-2,49,63,65,0,0,30,167841,2,548932,54,167841,1,2,27,2,167841,3,1945,548932,0,0,0,169458,1,167841,0,0,0,0,52,1100000,56,66,38,6,0,167841,167841,2,0,2,352,0,68,64,548932,66
1949,45,32,149,3499,251,68,1899,149,51,2,53,32,3,191,Scunthorpe Utd,3,51,47,-1,227446,7,-1,2,3,9144,0,439,142,0,64,66,65,66,0,53,66,65,0,0,55,184242,0,1056792,34,199815,1,0,68,2,199815,3,1949,1056792,1,0,0,199815,0,227446,0,0,0,0,52,900000,55,65,68,6,0,189808,200895,2,0,2,352,0,68,34,526360,66
1951,45,240,240,3549,240,1,1893,255,1,2,51,255,3,1,Oxford United,3,255,45,-1,183442,5,-1,2,3,12205,0,364,1934,1,66,68,67,66,-1,38,70,68,0,0,53,183442,2,99352,53,183442,1,0,33,4,183442,3,1951,1082392,2,0,0,173895,0,183442,0,0,0,1,39,1000000,49,67,39,6,0,204860,183442,2,0,1,352,0,70,49,542744,67
1952,45,173,241,160000,1,1,1904,241,1,4,53,173,3,1,Hull City,3,1,38,-1,282159,6,-1,2,4,24983,2,223,8,2,71,72,71,73,0,59,67,67,2,0,46,190549,2,1057088,40,190683,0,0,37,2,281050,2,1952,1052992,2,0,0,193884,1,282159,0,0,0,0,56,15000000,56,72,54,7,0,190549,164459,2,0,2,353,0,71,52,526656,73
1954,45,28,0,3999,255,255,1906,0,97,3,51,28,3,255,Southend United,3,97,44,-1,171620,5,-1,2,2,12086,0,460,1935,0,65,65,65,66,0,51,66,67,0,0,48,171620,1,106834,44,200689,1,0,70,2,171620,4,1954,1073490,0,0,0,53412,1,171620,0,0,0,0,52,700000,48,65,70,7,0,171620,140451,2,0,1,352,0,68,64,1073490,66
1955,45,102,51,4998,1,1,1907,51,190,15,53,102,10,1,Rochdale,3,190,68,-1,212990,8,-1,2,2,10003,0,407,1945,0,63,65,63,65,-2,39,65,64,0,0,66,212990,2,1056784,45,212990,0,0,66,2,239177,7,1955,148496,2,0,0,187154,1,212990,0,0,0,0,36,650000,36,64,36,9,0,170818,212990,2,0,1,352,0,68,76,132112,65
1960,41,255,255,595838,1,1,1912,255,255,5,51,255,4,1,Swansea City,2,255,46,-1,281410,5,-1,2,4,21088,0,470,1961,0,77,76,77,75,-3,50,75,75,0,0,62,212811,0,132132,45,281410,1,0,59,2,281410,5,1960,1056804,1,0,0,198198,0,281410,0,0,0,0,53,45030000,62,76,59,5,0,231390,202491,2,0,4,353,0,79,45,270372,74
1961,45,93,16,25999,255,255,1899,16,170,3,51,93,2,255,Cardiff City,3,170,66,-1,172904,7,-1,2,4,33280,2,94,1960,2,70,70,70,69,-3,71,70,70,2,0,38,172904,2,1069060,58,194964,1,1,58,2,189462,3,1961,135172,2,0,0,187033,1,172904,0,0,0,0,73,3250000,78,70,72,7,0,198641,204464,2,0,1,352,0,73,58,526340,69
1962,45,51,1,3599,255,255,1883,11,153,12,51,51,14,255,Bristol Rovers,3,153,76,-1,172928,4,-1,2,5,11485,0,76,1919,0,65,64,65,62,-3,53,65,65,0,0,63,172928,0,155920,73,188490,0,0,73,2,188490,3,1962,319760,2,0,0,193958,1,172928,0,0,0,0,51,1000000,45,64,47,6,0,203287,172928,2,0,2,352,0,67,73,542992,63
1968,40,245,245,2500,150,63,1910,250,0,3,36,250,3,64,Cádiz CF,6,111,45,-1,234772,2,-1,2,5,25033,2,574,573,1,70,70,70,70,-6,71,70,70,2,0,60,234772,0,1069056,42,234772,1,0,48,2,234772,3,1968,1069056,0,0,0,155989,0,234772,0,0,0,0,67,1600000,70,70,78,3,1,221095,234772,2,0,1,352,0,71,62,1069056,70
1970,71,176,255,204995,160,0,1960,255,27,3,25,205,1,50,Tigres,24,54,75,-1,220295,10,-1,2,6,41650,1,424,1032,2,74,73,73,78,-100,72,71,72,1,0,45,186992,1,168010,35,215270,1,3,75,4,214491,3,1970,266314,1,0,0,186992,1,206655,5,0,0,0,72,18000000,67,74,71,2,-6,206655,164079,7,0,7,352,0,74,35,541770,78
1971,46,15,15,2923,25,255,1902,250,15,2,51,250,6,33,Excelsior,14,250,33,-1,229104,3,-1,2,1,4500,2,412,100646,2,68,67,69,67,4,65,67,67,2,0,36,229104,0,1056856,41,184071,1,0,41,2,229104,2,1971,1056856,0,0,0,184071,0,184071,0,0,0,0,53,1100000,43,67,48,5,1,184071,229104,2,0,1,352,0,70,39,532568,67
2007,70,218,241,3300,1,1,1970,255,50,3,51,255,4,1,Sport. Lokeren,11,255,45,-1,179899,5,-1,1,4,12641,2,284,110913,2,68,67,66,68,3,52,69,69,2,0,52,179899,1,106537,45,179899,0,2,52,2,179899,5,2007,1073193,0,0,0,201845,1,179899,0,0,0,0,50,1700000,35,68,30,6,1,175818,179899,2,1,1,352,0,71,63,526377,66
2013,70,255,255,5697,1,1,1945,230,255,1,50,230,5,1,KAS Eupen,11,230,58,-1,234985,2,-1,1,1,8363,2,562,232,2,68,67,67,72,6,36,67,67,2,0,42,234948,1,99344,51,234985,0,0,44,4,180339,8,2013,99344,0,0,0,234047,0,234985,0,0,0,1,37,2200000,52,68,32,6,1,234985,16,2,0,1,352,0,72,52,1089552,72
2026,40,106,51,2499,255,255,2003,0,220,3,37,0,2,255,Lorca FC,1,0,46,-1,203173,1,-1,2,1,8120,2,648,1854,1,65,66,65,66,-1,50,67,67,2,0,42,203173,0,1056832,38,203173,0,0,54,2,203173,4,2026,1056832,2,0,0,204866,0,203173,0,0,0,0,51,800000,42,66,54,3,1,203173,203173,2,0,1,352,0,70,38,526400,66
2038,6,151,42,15409,255,255,1912,58,72,3,40,218,2,255,Avellino,1,106,27,-1,184407,6,-1,2,3,10125,1,31,48,1,67,67,67,65,14,70,65,65,1,0,30,198959,1,73728,33,184407,1,0,30,4,184407,4,2038,526336,0,0,0,216141,0,184407,0,0,0,0,67,2000000,63,67,43,5,1,172696,184407,2,0,2,352,0,68,33,526336,65
2055,23,1,255,14999,255,255,1984,1,1,4,36,1,2,255,Sangju Sangmu,1,1,46,-1,281830,2,-1,2,2,15042,1,428,1474,1,67,68,67,65,128,68,68,68,1,1,49,281830,2,1069184,36,281830,1,0,60,4,204721,10,2055,1069184,2,0,0,199238,0,281830,0,0,0,0,71,2800000,79,68,70,9,9,281830,202986,4,0,1,352,0,67,66,548992,65
2056,23,178,102,3628,255,255,2002,0,255,3,35,1,3,255,Daegu FC,1,204,47,-1,281062,3,-1,1,3,66422,1,130,1474,1,62,65,62,61,128,40,65,65,1,1,50,281062,1,1085696,51,281062,0,0,41,2,281062,7,2056,1082624,2,0,0,232338,0,281062,0,0,0,0,37,1600000,57,65,37,7,9,185205,228461,4,0,2,352,0,69,57,542976,61
10019,42,100,40,3892,255,255,1918,40,252,3,41,100,2,255,F. Santa Maria,25,252,60,-1,282950,2,-1,1,1,5401,0,590,518,1,70,70,70,70,-8,51,70,68,1,0,42,282950,1,82944,42,224077,1,0,52,2,282950,5,10019,90112,2,0,0,234992,0,282950,0,0,0,0,50,800000,48,69,66,3,0,230086,212474,2,0,1,352,0,73,72,526336,70
10020,42,255,255,10999,192,0,1939,20,0,2,39,100,7,128,Estoril Praia,1,180,49,-1,209828,5,-1,2,3,8000,0,98,1889,1,70,71,71,71,-9,49,69,68,1,0,41,209828,0,82944,51,212369,1,0,37,5,209828,3,10020,1073152,0,0,0,184807,1,209828,0,0,0,0,49,1250000,41,69,37,7,0,191625,209828,2,0,5,352,0,73,71,548864,72
10029,34,66,23,234254,255,255,1899,8,117,4,49,145,4,255,Hoffenheim,18,219,67,-1,203486,5,-1,2,2,30150,1,450,36,1,77,77,77,79,8,51,77,77,1,0,48,200318,1,132096,38,198077,1,0,68,2,280520,8,10029,139264,2,0,0,165174,0,203486,0,0,0,1,51,22000000,43,77,32,4,1,200318,211748,2,0,4,352,0,81,38,139264,79
10030,6,75,23,11249,1,1,1907,255,175,1,51,255,2,1,SC Paderborn,18,255,45,-1,239135,5,-1,2,4,15000,1,367,159,1,64,63,64,63,8,50,62,62,1,1,37,239135,1,135169,46,239135,1,0,42,2,239135,4,10030,1056769,2,0,0,183640,0,239135,0,0,0,0,49,650000,37,63,42,7,1,216386,239135,2,0,1,352,0,68,46,526337,63
10031,42,1,1,2600,255,255,1914,1,1,4,37,1,1,255,Portimão,25,1,45,-1,207734,2,-1,1,2,6000,0,644,112516,1,69,68,70,67,-9,51,67,67,2,0,48,207734,2,1049616,41,238858,0,0,47,4,207734,5,10031,1056784,2,0,0,18115,1,207734,0,0,0,0,49,850000,48,68,47,6,0,207734,207734,2,0,1,352,0,73,41,528400,67
10032,6,255,255,3964,1,1,1908,255,255,2,46,254,4,1,FC Lugano,1,254,67,-1,229516,2,-1,1,1,6330,0,289,110770,1,63,64,63,66,8,69,62,62,1,0,64,170660,1,167968,74,229516,1,3,64,2,229516,2,10032,184352,2,0,0,170660,0,229516,3,0,0,1,67,825000,64,64,78,9,1,222394,181349,2,0,1,352,0,68,74,532512,66
15001,69,51,0,3498,255,255,1921,14,153,5,56,43,3,255,Lyngby BK,12,137,56,-1,234488,1,-1,2,2,10000,0,561,1788,1,65,65,65,64,12,60,64,64,1,0,54,202534,0,526400,51,172561,0,3,49,9,234488,7,15001,526400,2,0,0,234488,1,234488,2,0,0,0,61,500000,68,65,69,4,1,202661,234488,2,0,1,352,0,67,52,526400,64
15005,70,11,196,5572,74,0,2001,220,48,2,50,15,3,111,Zulte-Waregem,11,53,59,-1,184154,7,-1,2,4,12250,2,520,100081,2,69,70,70,69,3,36,70,70,2,0,31,184154,1,148618,35,184154,1,2,57,2,184154,1,15005,83082,0,0,0,212120,0,184154,0,0,0,1,36,3000000,41,70,31,6,1,225152,172649,2,0,2,352,0,72,61,286858,69
15009,6,250,250,4801,1,1,1929,250,1,1,47,250,2,1,SCR Altach,1,1,38,-1,173480,4,-1,2,2,8500,1,15,191,1,64,66,64,65,9,54,67,67,1,0,56,216184,1,164864,58,216184,0,0,47,2,216184,2,15009,164864,2,0,0,152107,0,173480,0,0,0,0,53,675000,61,66,67,5,1,235996,173480,2,0,1,352,0,70,53,132096,65
15012,40,255,255,2500,27,222,1923,192,255,2,42,0,2,0,Cultural Leonesa,1,0,46,-1,220348,1,-1,2,1,13451,2,647,462,1,67,68,67,69,-5,53,68,68,2,0,35,220348,0,1056832,51,220348,1,0,65,2,220348,5,15012,1056832,0,0,0,208566,0,220348,0,0,0,0,49,800000,35,68,65,3,1,189573,220348,2,0,1,352,0,71,51,526400,69
15015,45,245,249,4000,1,1,1950,249,1,2,52,245,6,1,Burton Albion,3,1,44,-1,211378,6,-1,2,2,6912,2,86,91,2,67,68,67,69,-1,68,68,68,2,0,49,211378,1,1073478,40,211228,1,0,64,2,211228,2,15015,1069382,2,0,0,169843,1,211378,0,0,0,0,67,800000,79,68,74,8,0,201346,189278,2,0,1,352,0,70,70,528710,69
15019,40,0,187,3200,255,255,1914,1,0,3,41,1,3,255,Nàstic,6,1,59,-1,239671,8,-1,1,2,14591,2,475,110854,1,71,70,71,71,1,40,69,69,2,0,42,239671,0,73792,36,239671,1,0,60,2,239671,3,15019,66624,0,0,0,233055,0,239671,0,0,0,0,37,1750000,32,70,32,5,1,214313,184417,2,0,1,352,0,72,32,1073216,71
15029,73,50,28,33994,35,230,1927,255,138,5,-33,255,2,27,Uni. de Chile,1,255,67,-1,281074,10,-1,1,5,48665,1,354,110980,1,74,74,74,74,-70,51,75,75,1,0,55,160146,1,168116,35,159987,1,5,55,4,281074,6,15029,155828,2,0,0,159936,0,281074,18,0,0,1,53,9000000,53,74,39,3,-3,159987,159954,7,0,7,352,0,75,65,263348,74
100081,70,0,204,2500,255,255,1971,245,0,4,50,0,4,255,KV Kortrijk,11,0,44,-1,201438,5,-1,2,3,9399,2,251,15005,2,69,70,71,69,3,50,69,68,2,0,42,201438,1,106760,48,201438,1,0,54,2,201438,1,100081,1057032,0,0,0,201438,1,201438,0,0,0,0,51,1400000,42,69,54,5,1,137359,201438,2,0,1,352,0,73,48,542984,71
100325,23,73,2,3500,255,255,1907,2,155,3,60,73,2,255,HJK Helsinki,1,155,45,-1,238203,10,-1,2,3,10770,0,586,1884,1,64,63,64,60,24,49,62,62,1,0,51,238203,0,1056772,60,238203,1,12,44,2,222912,2,100325,1056772,0,0,0,238456,0,222912,27,0,0,0,53,500000,51,63,44,4,2,232023,238203,2,0,1,352,0,63,60,1056772,60
100409,34,51,203,126181,56,4,1907,255,59,6,48,255,4,106,Augsburg,18,255,34,-1,199439,4,-1,2,5,30660,1,28,111239,1,74,75,74,76,10,56,73,73,1,0,59,199439,1,1065992,51,201982,1,0,50,2,199439,2,100409,1056776,1,0,0,182152,0,199439,0,0,0,0,59,9500000,66,75,49,9,1,182152,199439,2,0,5,352,0,77,47,526344,76
100424,6,1,255,3977,255,255,1966,255,1,1,50,1,2,255,Rot-Weiß Erfurt,1,1,74,-1,211887,3,-1,2,3,19439,1,629,503,1,62,63,62,63,11,40,64,64,1,0,47,239703,2,296256,36,191235,0,0,77,2,191235,4,100424,263488,2,0,0,191235,1,228835,0,0,0,1,37,500000,37,63,37,9,2,238618,211887,2,0,1,352,0,68,37,526656,63
100634,46,255,255,2219,15,15,1903,235,255,3,52,235,6,15,Heracles Almelo,14,235,49,-1,282188,5,-1,1,3,13500,2,13,1908,2,69,70,70,71,7,49,69,68,2,0,46,282188,1,106768,50,210386,1,0,64,2,210386,1,100634,1057040,0,0,0,209701,0,282188,0,0,0,0,53,1700000,46,69,64,6,1,216823,189723,2,0,1,352,0,73,50,526608,72
100646,46,23,228,3826,255,255,1888,10,31,2,51,10,4,255,Sparta Rotterdam,14,10,50,-1,281080,2,-1,2,4,11000,2,412,246,2,67,65,67,66,4,52,65,66,2,0,41,281080,1,1057092,61,281080,0,3,50,2,281080,7,100646,1057092,0,0,0,184657,0,281080,1,0,0,0,61,1000000,40,67,69,4,1,208349,207497,2,0,1,352,0,73,57,526660,64
100651,46,228,255,2401,6,255,1903,1,12,1,51,1,6,255,VVV-Venlo,14,1,45,-1,224185,1,-1,2,2,8000,2,617,1902,2,67,67,67,68,6,52,65,65,2,0,59,224185,1,526336,32,224185,1,1,66,2,224185,1,100651,1056768,0,0,0,199407,0,224185,0,0,0,0,50,1000000,59,66,66,4,1,224185,224185,2,0,1,352,0,70,32,1056768,69
100765,39,160,57,206131,32,215,1922,255,80,7,55,255,1,25,Lokomotiv Moscow,38,255,68,-1,200223,8,-1,1,6,28500,1,330,100767,1,76,74,73,76,37,51,73,74,1,0,49,200223,0,1049924,39,200223,1,7,69,2,214092,4,100765,139588,0,0,0,180714,1,200223,2,0,0,1,52,15660000,43,76,65,6,3,215716,157960,2,0,6,352,0,77,39,526660,75
100766,39,225,245,14999,0,0,1991,255,0,11,43,225,12,188,Anzhi Makhachkala,38,100,50,-1,239721,2,-1,2,4,30000,1,297,110109,1,69,68,69,65,47,59,69,70,1,0,54,239721,0,1056769,70,193895,1,0,50,2,234566,4,100766,1069057,2,0,0,193895,0,239721,0,0,0,0,65,3000000,55,69,53,8,3,199290,217657,2,0,4,352,0,73,47,526337,65
100767,39,11,251,299996,255,255,1922,251,11,4,55,11,3,255,Spartak Moscow,38,11,68,-1,202642,10,-1,1,6,45000,1,330,315,1,78,76,77,78,37,51,75,76,1,0,63,193897,1,181297,73,284043,0,3,63,4,281084,8,100767,188465,0,0,0,148212,0,202642,10,0,0,1,51,27600000,53,77,39,4,3,203757,208808,2,0,5,352,0,79,73,1105969,77
100769,39,180,56,349994,255,255,1925,17,218,6,59,73,4,255,Zenit,38,147,59,-1,207439,10,-1,2,8,56196,1,429,100767,1,76,78,78,78,30,39,79,79,1,0,64,207439,1,83120,43,207439,1,3,42,2,207439,6,100769,66736,0,0,0,203629,0,207439,4,0,0,0,39,35700000,44,78,34,3,3,201452,207439,2,0,7,352,0,79,44,66736,78
100804,67,100,45,6799,255,255,1884,51,220,1,56,120,4,255,St. Johnstone,3,220,47,-1,234915,6,-1,2,3,10740,0,375,180,0,65,66,66,68,-3,52,65,65,0,0,39,234915,2,1098784,47,234915,1,1,33,2,234915,6,100804,1056800,0,0,0,163955,0,234915,0,0,0,0,50,950000,39,65,33,8,0,171971,234915,2,0,1,352,0,67,47,528416,70
100831,40,217,233,2500,190,30,1971,255,79,2,40,255,3,110,AD Alcorcón,6,255,47,-1,281263,7,-1,2,3,5100,2,9,480,1,68,69,68,68,-3,52,70,70,2,0,64,211243,0,1056768,50,211243,1,0,56,4,194924,2,100831,1056768,0,0,0,216660,0,281263,0,0,0,0,53,1550000,64,69,56,4,1,216376,187935,2,0,1,352,0,71,50,528384,68
100888,40,90,70,10496,255,255,1928,245,190,3,40,245,3,255,CD Leganés,6,255,46,-1,208141,4,-1,2,5,10922,2,271,1860,1,75,75,75,74,-3,51,74,74,2,0,33,208141,1,1052712,42,208141,0,0,48,2,208141,2,100888,1073192,2,0,0,210787,0,208141,0,0,0,0,50,3830000,33,75,48,4,1,208141,208141,2,0,3,352,0,75,62,542760,74
101014,39,102,51,25995,0,255,2014,50,204,2,41,100,4,102,Başakşehir,37,200,74,-1,280614,7,-1,1,4,17300,1,231,111339,1,76,76,77,76,28,39,75,74,1,0,69,204247,0,164866,53,204247,1,0,79,4,280614,5,101014,295938,0,0,0,176894,0,280614,0,0,0,0,39,7500000,49,76,39,6,2,176481,205678,9,0,4,352,0,76,49,542722,76
101020,39,204,255,8998,3,198,1966,255,0,1,38,204,4,2,Kayserispor,37,0,74,-1,186651,4,-1,2,2,32864,1,242,742,1,72,72,72,73,35,69,68,70,1,0,64,186651,2,188424,74,205410,0,1,74,4,186651,6,101020,315400,0,0,0,183975,1,186651,0,0,0,0,67,3000000,64,72,78,8,2,168320,215531,9,0,2,352,0,73,74,1052680,73
